구분,죄종,발생검거,건수
중부,살인,발생,2
중부,살인,검거,2
중부,강도,발생,13
중부,강도,검거,17
중부,강간,발생,128
중부,강간,검거,34
중부,절도,발생,871
중부,절도,검거,461
중부,폭력,발생,1383
중부,폭력,검거,1257
종로,살인,발생,1
종로,살인,검거,0
종로,강도,발생,20
종로,강도,검거,21
종로,강간,발생,55
종로,강간,검거,42
종로,절도,발생,581
종로,절도,검거,700
종로,폭력,발생,1311
종로,폭력,검거,1232
남대문,살인,발생,1
남대문,살인,검거,2
남대문,강도,발생,18
남대문,강도,검거,18
남대문,강간,발생,40
남대문,강간,검거,42
남대문,절도,발생,637
남대문,절도,검거,361
남대문,폭력,발생,980
남대문,폭력,검거,973
서대문,살인,발생,5
서대문,살인,검거,4
서대문,강도,발생,52
서대문,강도,검거,36
서대문,강간,발생,85
서대문,강간,검거,74
서대문,절도,발생,1225
서대문,절도,검거,577
서대문,폭력,발생,1899
서대문,폭력,검거,1761
혜화,살인,발생,7
혜화,살인,검거,6
혜화,강도,발생,22
혜화,강도,검거,16
혜화,강간,발생,91
혜화,강간,검거,53
혜화,절도,발생,583
혜화,절도,검거,705
혜화,폭력,발생,1942
혜화,폭력,검거,1868
용산,살인,발생,8
용산,살인,검거,8
용산,강도,발생,49
용산,강도,검거,35
용산,강간,발생,73
용산,강간,검거,69
용산,절도,발생,997
용산,절도,검거,593
용산,폭력,발생,1942
용산,폭력,검거,1813
성북,살인,발생,6
성북,살인,검거,5
성북,강도,발생,39
성북,강도,검거,23
성북,강간,발생,67
성북,강간,검거,50
성북,절도,발생,962
성북,절도,검거,820
성북,폭력,발생,1557
성북,폭력,검거,1481
동대문,살인,발생,12
동대문,살인,검거,12
동대문,강도,발생,78
동대문,강도,검거,89
동대문,강간,발생,102
동대문,강간,검거,107
동대문,절도,발생,893
동대문,절도,검거,789
동대문,폭력,발생,3339
동대문,폭력,검거,3303
마포,살인,발생,24
마포,살인,검거,9
마포,강도,발생,78
마포,강도,검거,66
마포,강간,발생,87
마포,강간,검거,74
마포,절도,발생,2056
마포,절도,검거,667
마포,폭력,발생,3045
마포,폭력,검거,2780
영등포,살인,발생,5
영등포,살인,검거,3
영등포,강도,발생,53
영등포,강도,검거,31
영등포,강간,발생,75
영등포,강간,검거,66
영등포,절도,발생,1100
영등포,절도,검거,723
영등포,폭력,발생,2504
영등포,폭력,검거,2382
성동,살인,발생,5
성동,살인,검거,5
성동,강도,발생,49
성동,강도,검거,40
성동,강간,발생,68
성동,강간,검거,55
성동,절도,발생,999
성동,절도,검거,509
성동,폭력,발생,2314
성동,폭력,검거,2231
동작,살인,발생,18
동작,살인,검거,17
동작,강도,발생,52
동작,강도,검거,69
동작,강간,발생,76
동작,강간,검거,63
동작,절도,발생,1974
동작,절도,검거,419
동작,폭력,발생,2565
동작,폭력,검거,2261
광진,살인,발생,10
광진,살인,검거,10
광진,강도,발생,72
광진,강도,검거,71
광진,강간,발생,137
광진,강간,검거,109
광진,절도,발생,1886
광진,절도,검거,778
광진,폭력,발생,3762
광진,폭력,검거,3299
서부,살인,발생,7
서부,살인,검거,8
서부,강도,발생,34
서부,강도,검거,69
서부,강간,발생,69
서부,강간,검거,65
서부,절도,발생,846
서부,절도,검거,730
서부,폭력,발생,2190
서부,폭력,검거,2138
강북,살인,발생,15
강북,살인,검거,15
강북,강도,발생,46
강북,강도,검거,41
강북,강간,발생,81
강북,강간,검거,80
강북,절도,발생,729
강북,절도,검거,527
강북,폭력,발생,2784
강북,폭력,검거,2699
금천,살인,발생,16
금천,살인,검거,14
금천,강도,발생,86
금천,강도,검거,41
금천,강간,발생,102
금천,강간,검거,101
금천,절도,발생,1938
금천,절도,검거,712
금천,폭력,발생,3974
금천,폭력,검거,3502
중랑,살인,발생,7
중랑,살인,검거,6
중랑,강도,발생,52
중랑,강도,검거,48
중랑,강간,발생,98
중랑,강간,검거,79
중랑,절도,발생,827
중랑,절도,검거,577
중랑,폭력,발생,3838
중랑,폭력,검거,3808
강남,살인,발생,8
강남,살인,검거,6
강남,강도,발생,103
강남,강도,검거,75
강남,강간,발생,178
강남,강간,검거,153
강남,절도,발생,1271
강남,절도,검거,764
강남,폭력,발생,3742
강남,폭력,검거,3571
관악,살인,발생,0
관악,살인,검거,0
관악,강도,발생,75
관악,강도,검거,29
관악,강간,발생,175
관악,강간,검거,90
관악,절도,발생,1697
관악,절도,검거,620
관악,폭력,발생,2870
관악,폭력,검거,2617
강서,살인,발생,8
강서,살인,검거,7
강서,강도,발생,84
강서,강도,검거,81
강서,강간,발생,109
강서,강간,검거,88
강서,절도,발생,1914
강서,절도,검거,859
강서,폭력,발생,4213
강서,폭력,검거,3886
강동,살인,발생,7
강동,살인,검거,7
강동,강도,발생,63
강동,강도,검거,60
강동,강간,발생,97
강동,강간,검거,89
강동,절도,발생,999
강동,절도,검거,779
강동,폭력,발생,2977
강동,폭력,검거,2977
종암,살인,발생,7
종암,살인,검거,6
종암,강도,발생,22
종암,강도,검거,35
종암,강간,발생,90
종암,강간,검거,69
종암,절도,발생,939
종암,절도,검거,740
종암,폭력,발생,2651
종암,폭력,검거,2567
구로,살인,발생,13
구로,살인,검거,13
구로,강도,발생,51
구로,강도,검거,39
구로,강간,발생,167
구로,강간,검거,83
구로,절도,발생,1559
구로,절도,검거,743
구로,폭력,발생,3498
구로,폭력,검거,3165
서초,살인,발생,2
서초,살인,검거,2
서초,강도,발생,205
서초,강도,검거,145
서초,강간,발생,154
서초,강간,검거,98
서초,절도,발생,1220
서초,절도,검거,787
서초,폭력,발생,2673
서초,폭력,검거,2469
양천,살인,발생,6
양천,살인,검거,6
양천,강도,발생,36
양천,강도,검거,46
양천,강간,발생,81
양천,강간,검거,75
양천,절도,발생,1489
양천,절도,검거,536
양천,폭력,발생,2880
양천,폭력,검거,2577
송파,살인,발생,6
송파,살인,검거,6
송파,강도,발생,62
송파,강도,검거,58
송파,강간,발생,68
송파,강간,검거,55
송파,절도,발생,927
송파,절도,검거,500
송파,폭력,발생,2481
송파,폭력,검거,2340
노원,살인,발생,5
노원,살인,검거,5
노원,강도,발생,13
노원,강도,검거,14
노원,강간,발생,100
노원,강간,검거,112
노원,절도,발생,1084
노원,절도,검거,726
노원,폭력,발생,2391
노원,폭력,검거,2275
방배,살인,발생,2
방배,살인,검거,3
방배,강도,발생,25
방배,강도,검거,24
방배,강간,발생,111
방배,강간,검거,66
방배,절도,발생,721
방배,절도,검거,482
방배,폭력,발생,1563
방배,폭력,검거,1493
은평,살인,발생,5
은평,살인,검거,5
은평,강도,발생,24
은평,강도,검거,26
은평,강간,발생,56
은평,강간,검거,59
은평,절도,발생,848
은평,절도,검거,484
은평,폭력,발생,1852
은평,폭력,검거,1772
도봉,살인,발생,4
도봉,살인,검거,3
도봉,강도,발생,39
도봉,강도,검거,37
도봉,강간,발생,88
도봉,강간,검거,80
도봉,절도,발생,892
도봉,절도,검거,562
도봉,폭력,발생,2640
도봉,폭력,검거,2498
수서,살인,발생,6
수서,살인,검거,5
수서,강도,발생,45
수서,강도,검거,33
수서,강간,발생,66
수서,강간,검거,53
수서,절도,발생,1529
수서,절도,검거,600
수서,폭력,발생,2600
수서,폭력,검거,2338
